grid_id,iso3,year,dmsp_stable_lights
AFG_8376,AFG,1992,0
AFG_8377,AFG,1992,0
AFG_8378,AFG,1992,0
AFG_8577,AFG,1992,0.000831374347801321
AFG_8578,AFG,1992,0
AFG_8579,AFG,1992,0.00415926192006194
AFG_8580,AFG,1992,0.0860427741377305
AFG_8581,AFG,1992,0
AFG_8777,AFG,1992,0
AFG_8778,AFG,1992,0
AFG_8779,AFG,1992,0
AFG_8780,AFG,1992,0.00211745543389669
AFG_8781,AFG,1992,0
AFG_8782,AFG,1992,0
AFG_8783,AFG,1992,0.00216029379995684
AFG_8978,AFG,1992,0
AFG_8979,AFG,1992,0.0145726013057478
AFG_8980,AFG,1992,0.00135328930093395
AFG_8981,AFG,1992,0
AFG_8982,AFG,1992,0
AFG_8983,AFG,1992,0.13651074365552
AFG_8984,AFG,1992,0.0454755309325813
AFG_8985,AFG,1992,0
AFG_9181,AFG,1992,0
AFG_9182,AFG,1992,0.113539617242032
AFG_9183,AFG,1992,0.321118967107216
AFG_9184,AFG,1992,0.00796514841185045
AFG_9185,AFG,1992,0
AFG_9186,AFG,1992,0
AFG_9187,AFG,1992,0
AFG_9386,AFG,1992,0
AGO_3323,AGO,1992,0
AGO_3324,AGO,1992,0
AGO_3325,AGO,1992,0.00274139506548915
AGO_3326,AGO,1992,0.00579268292682993
AGO_3327,AGO,1992,0
AGO_3328,AGO,1992,0.0194251343489613
AGO_3329,AGO,1992,0
AGO_3330,AGO,1992,0
AGO_3524,AGO,1992,0.0184713976062577
AGO_3525,AGO,1992,0.00067487767842088
AGO_3526,AGO,1992,0.000617410989915457
AGO_3527,AGO,1992,0
AGO_3528,AGO,1992,0.000266306129138045
AGO_3529,AGO,1992,0
AGO_3530,AGO,1992,0
AGO_3725,AGO,1992,1.77712031558186
AGO_3726,AGO,1992,0.0435276811981981
AGO_3727,AGO,1992,0.00311461794019995
AGO_3728,AGO,1992,0
AGO_3729,AGO,1992,0.00283157307318763
AGO_3730,AGO,1992,0
AGO_3731,AGO,1992,0
AGO_3927,AGO,1992,0.155256064690006
AGO_3928,AGO,1992,0.00571967316153173
AGO_3929,AGO,1992,0.00319075723134194
AGO_3930,AGO,1992,0
AGO_3931,AGO,1992,0.00108946155457768
AGO_3932,AGO,1992,0
AGO_3933,AGO,1992,0
AGO_4128,AGO,1992,0.0208256542572825
AGO_4129,AGO,1992,0.0209828475218264
AGO_4130,AGO,1992,0
AGO_4131,AGO,1992,0
AGO_4132,AGO,1992,0
AGO_4133,AGO,1992,0
AGO_4134,AGO,1992,0
AGO_4329,AGO,1992,0.64998128742501
AGO_4330,AGO,1992,0.0113836678347697
AGO_4331,AGO,1992,0.0091249065071014
AGO_4332,AGO,1992,0.005716515909819
AGO_4333,AGO,1992,0.00945199660153008
AGO_4334,AGO,1992,0
AGO_4530,AGO,1992,0.391141446413164
AGO_4531,AGO,1992,0.00333439524264622
AGO_4532,AGO,1992,0
AGO_4533,AGO,1992,0
AGO_4534,AGO,1992,0.0222931575966634
AGO_4535,AGO,1992,0.0344077516314017
AGO_4730,AGO,1992,7.65284552845533
AGO_4731,AGO,1992,0.638416393116426
AGO_4732,AGO,1992,0
AGO_4733,AGO,1992,0
ALB_9357,ALB,1992,0
ALB_9358,ALB,1992,0.168763351530981
ALB_9558,ALB,1992,0.0380952380952382
ALB_9559,ALB,1992,0.30350991225224
ARE_7768,ARE,1992,1.06671798819615
ARE_7769,ARE,1992,0.941657173988369
ARE_7770,ARE,1992,1.53138075313807
ARE_7968,ARE,1992,1.73510971786834
ARE_7969,ARE,1992,3.16872303383533
ARE_7970,ARE,1992,7.31016731016771
ARE_7971,ARE,1992,15.2501392757659
ARE_8172,ARE,1992,12.3718442447582
