variable,obs,mean,sd_overall,sd_between,sd_within,min,max
Lightict,2082,-0.746161585074002,2.2163040851504,2.20371437850664,0.282883445317313,-4.43591463066905,3.46544577949921
Leaderict-1,1938,0.0170694380903355,0.0225293944721755,0.0219687029687844,0.00961112807339907,0.000181686046511628,0.272727272727273
Polityct-1,1917,0.67905581637976,0.307123660965867,0.292855508961817,0.107588242809006,0,1
Schoolingct-1,1700,7.08135764705882,3.01500079956794,2.97283096597889,0.518541425335663,0.93,13.052
NationalGDPct-1,1941,8.24314060985851,1.3577393819325,1.33828215415034,0.166353630869751,5.08097839588741,10.8551082907433
Languagec,2017,0.441410449548983,0.29743976889211,0.297233058516182,1.30724163668637e-16,0.00211320000000004,0.9226795
FamilyTiesc,1016,-0.0165882750587013,0.391019199388079,0.391805505353172,1.07467201649731e-16,-0.911525080009734,0.572044200869815
Aidct-1,1471,9.25552255081594,2.6526219831975,2.04446813464166,1.98269263526471,-10.5965171803178,13.5591690336051
Oilct-1,1895,5.96431602856169,5.1469945698644,4.92512495035305,1.47846450864027,0,16.1256750649162
