col,b,se,sig,n_regions,n_obs,within_r2
1,0.0479174503793076,0.0172012064435301,***,45463,1301050,0.516
2,0.0430875396289679,0.0168857193759158,**,45463,1360509,0.461
3,0.0460973605965172,0.0182102297945093,**,45463,1274892,0.435
4,0.0247375390844988,0.00977277316480016,**,45463,1260294,0.634
5,0.0739461394430349,0.0158376414622198,***,45463,1260314,0.945
6,0.0345512606257274,0.0160182532837702,**,45133,1186109,0.604
7,0.0263982091814371,0.00903741335689464,***,45386,1298598,0.472
