variable,obs,mean,sd_overall,sd_between,sd_within,min,max
Lightict,655234,0.0972790181174352,2.45595188128208,2.39843987282214,2.49745701217684,-4.60517018598809,4.14329344395396
Leaderict-1,613178,0.0036204821438473,0.0600614696453992,0.0464217832727862,0.074734910677451,0,1
Polityct-1,612321,0.789342599714883,0.258259434815685,0.258512649932843,0.0898247614674923,0,1
Schoolingct-1,586029,8.12406149183708,2.77761948971642,2.74032502809352,0.567536206039137,0.93,13.052
NationalGDPct-1,615056,8.8293179941686,1.17846657595373,1.15625724335465,0.146886837819875,5.08097839588741,10.8551082907433
Languagec,647397,0.312426364975342,0.285866634257122,0.284468460812271,9.25587769009162e-17,0.00211320000000004,0.9226795
FamilyTiesc,521375,0.0590351139160543,0.365281959081418,0.360702571193231,1.21483183129058e-16,-0.911525080009734,0.572044200869815
Aidct-1,405473,7.88710155885299,3.28394287402108,2.0866851306851,2.64857917940868,-10.5965171803178,13.5591690336051
Oilct-1,609481,8.94988686669786,4.03477250822445,3.88793084883171,1.18353555092388,0,16.1256750649162
