gid_2
FIN.2.1_1
ISL.1.2_1
ISL.1.7_1
ISL.1.10_1
ISL.1.12_1
ISL.1.13_1
ISL.1.16_1
ISL.2.1_1
ISL.2.2_1
ISL.2.3_1
ISL.2.5_1
ISL.2.7_1
ISL.2.8_1
ISL.2.9_1
ISL.2.11_1
ISL.2.12_1
ISL.2.13_1
ISL.2.14_1
ISL.2.15_1
ISL.2.16_1
ISL.2.17_1
ISL.2.18_1
ISL.2.19_1
ISL.2.20_1
ISL.2.21_1
ISL.2.23_1
ISL.2.24_1
ISL.2.25_1
ISL.4.3_1
ISL.4.5_1
ISL.4.6_1
ISL.4.8_1
ISL.4.9_1
ISL.4.12_1
ISL.4.13_1
ISL.7.1_1
ISL.7.3_1
ISL.7.4_1
ISL.7.5_1
ISL.7.6_1
ISL.7.7_1
ISL.7.8_1
ISL.7.9_1
ISL.7.10_1
ISL.7.11_1
ISL.8.13_1
NOR.5.1_1
NOR.5.2_1
NOR.5.3_1
NOR.5.4_1
NOR.5.5_1
NOR.5.6_1
NOR.5.7_1
NOR.5.8_1
NOR.5.9_1
NOR.5.10_1
NOR.5.11_1
NOR.5.12_1
NOR.5.13_1
NOR.5.14_1
NOR.5.15_1
NOR.5.16_1
NOR.5.17_1
NOR.5.18_1
NOR.5.19_1
NOR.9.7_1
NOR.10.1_1
NOR.10.2_1
NOR.10.3_1
NOR.10.4_1
NOR.10.6_1
NOR.10.7_1
NOR.10.8_1
NOR.10.9_1
NOR.10.10_1
NOR.10.11_1
NOR.10.12_1
NOR.10.13_1
NOR.10.14_1
NOR.10.15_1
NOR.10.16_1
NOR.10.17_1
NOR.10.18_1
NOR.10.19_1
NOR.10.20_1
NOR.10.21_1
NOR.10.22_1
NOR.10.23_1
NOR.10.24_1
NOR.10.25_1
NOR.10.26_1
NOR.10.27_1
NOR.10.28_1
NOR.10.29_1
NOR.10.30_1
NOR.10.31_1
NOR.10.32_1
NOR.10.33_1
NOR.10.34_1
NOR.10.35_1
NOR.10.36_1
NOR.10.37_1
NOR.10.38_1
NOR.10.39_1
NOR.10.40_1
NOR.10.41_1
NOR.10.42_1
NOR.10.43_1
NOR.10.44_1
NOR.10.45_1
NOR.17.1_1
NOR.17.2_1
NOR.17.3_1
NOR.17.4_1
NOR.17.5_1
NOR.17.6_1
NOR.17.7_1
NOR.17.8_1
NOR.17.9_1
NOR.17.10_1
NOR.17.11_1
NOR.17.12_1
NOR.17.13_1
NOR.17.14_1
NOR.17.15_1
NOR.17.16_1
NOR.17.17_1
NOR.17.18_1
NOR.17.19_1
NOR.17.20_1
NOR.17.21_1
NOR.17.22_1
NOR.17.23_1
NOR.17.24_1
NOR.17.25_1
RUS.4.2_1
RUS.4.12_1
RUS.4.13_1
RUS.12.4_1
RUS.12.5_1
RUS.26.10_1
RUS.26.18_1
RUS.32.6_1
RUS.32.16_1
RUS.32.17_1
RUS.32.21_1
RUS.35.13_1
RUS.35.15_1
RUS.35.21_1
RUS.35.30_1
RUS.35.55_1
RUS.45.1_1
RUS.45.2_1
RUS.45.3_1
RUS.45.4_1
RUS.45.5_1
RUS.45.6_1
RUS.45.7_1
RUS.45.8_1
RUS.45.9_1
RUS.45.10_1
RUS.45.11_1
RUS.45.12_1
RUS.45.13_1
RUS.45.14_1
RUS.45.15_1
RUS.45.16_1
RUS.45.17_1
RUS.46.1_1
RUS.46.2_1
RUS.60.1_1
RUS.60.3_1
RUS.60.5_1
RUS.60.6_1
RUS.60.8_1
RUS.60.19_1
RUS.60.20_1
RUS.60.25_1
RUS.60.31_1
RUS.80.3_1
RUS.80.5_1
RUS.80.9_1
RUS.80.11_1
RUS.80.12_1
SWE.10.1_1
SWE.10.2_1
SWE.10.3_1
SWE.10.4_1
SWE.10.5_1
SWE.10.6_1
SWE.10.7_1
SWE.10.8_1
SWE.10.9_1
SWE.10.10_1
SWE.10.11_1
SWE.10.12_1
SWE.10.13_1
SWE.10.14_1
SWE.18.10_1
USA.2.17_1
USA.2.18_1
