leader,iso3,startyear,endyear,circle_id
Sitiveni Rabuka,FJI,2022,2023,CIRC_00293
Rabuka,FJI,1992,1999,CIRC_00287
Gonzalo Sanchez de Lozada,BOL,1993,1997,CIRC_00101
Gonzalo Sanchez de Lozada,BOL,2002,2003,CIRC_00101
Carlos Mesa,BOL,2003,2005,CIRC_00101
Luis Arce,BOL,2020,2023,CIRC_00101
Hakainde Hichilema,ZMB,2021,2023,CIRC_00930
Bingu wa Mutharika,MWI,2004,2012,CIRC_00550
Peter Mutharika,MWI,2014,2020,CIRC_00552
Djohar,COM,1989,1995,CIRC_00940
Djohar,COM,1996,1996,CIRC_00940
Djohar,MDG,1989,1995,CIRC_00195
Djohar,MDG,1996,1996,CIRC_00195
Guebuza,MOZ,2005,2015,CIRC_00598
Joyce Hilda Banda,MWI,2012,2014,CIRC_00551
Muluzi,MWI,1994,2004,CIRC_00549
Dina Boluarte,PER,2022,2023,CIRC_00682
Lazarus Chakwera,MWI,2020,2023,CIRC_00553
Valentin Paniagua,PER,2000,2001,CIRC_00678
Zafy,MDG,1993,1996,CIRC_00534
Jeanine Anez,BOL,2019,2020,CIRC_00104
Banda,MWI,1964,1994,CIRC_00548
Edgar Lungu,ZMB,2015,2021,CIRC_00929
Chiluba,ZMB,1991,2002,CIRC_00924
Filipe Nyusi,MOZ,2015,2023,CIRC_00599
Levy Mwanawasa,ZMB,2002,2008,CIRC_00925
Joao Lourenco,AGO,2017,2023,CIRC_00020
Hamada Madi,COM,2002,2002,CIRC_00200
Ratsirahonana,MDG,1996,1997,CIRC_00535
Dhoinine,COM,2011,2015,CIRC_00938
Hamada Madi,COM,2002,2002,CIRC_00938
Dhoinine,COM,2011,2016,CIRC_00202
Massounde,COM,1998,1999,CIRC_00950
Massounde,COM,1998,1999,CIRC_00198
Moustadroine Abdou,COM,2019,2019,CIRC_00198
Sambi,COM,2006,2011,CIRC_00201
Garcia Perez,PER,1985,1990,CIRC_00677
Fujimori,PER,1990,2000,CIRC_00677
Garcia Perez,PER,2006,2011,CIRC_00677
Ollanta Humala,PER,2011,2016,CIRC_00677
Pedro Pablo Kuczynski Godard,PER,2016,2018,CIRC_00680
Martin Vizcarra Cornejo,PER,2018,2020,CIRC_00680
Francisco Sagasti,PER,2020,2021,CIRC_00680
Pedro Castillo,PER,2021,2022,CIRC_00680
Sata,ZMB,2011,2014,CIRC_00927
Azali Assoumani,COM,1999,2002,CIRC_00937
Azali Assoumani,COM,2002,2006,CIRC_00937
Azali Assoumani,COM,1999,2002,CIRC_00199
Azali Assoumani,COM,2002,2006,CIRC_00199
Azali Assoumani,COM,2016,2019,CIRC_00199
Azali Assoumani,COM,2019,2023,CIRC_00199
Abdoulkarim,COM,1996,1998,CIRC_00197
Abdoulkarim,COM,1996,1998,CIRC_00933
Mkapa,TZA,1995,2005,CIRC_00844
Kaunda,ZMB,1964,1991,CIRC_00923
Mamaloni,SLB,1989,1993,CIRC_00778
Mamaloni,SLB,1994,1997,CIRC_00778
Sikua,SLB,2007,2010,CIRC_00782
Rick Houenipwela,SLB,2017,2019,CIRC_00785
Skate,PNG,1997,1999,CIRC_00693
Kemakeza,SLB,2001,2006,CIRC_00780
Fernando de Ara��jo,TLS,2008,2008,CIRC_00278
Ulufa'alu,SLB,1997,2000,CIRC_00779
Lula da Silva,BRA,2003,2011,CIRC_00127
Lula da Silva,BRA,2022,2023,CIRC_00127
Dos Santos,AGO,1979,2017,CIRC_00019
Guterres,TLS,2017,2022,CIRC_00281
Ruak,TLS,2012,2017,CIRC_00280
Ramos-Horta,TLS,2008,2012,CIRC_00279
Jose Manuel Ramos-Horta,TLS,2022,2023,CIRC_00279
Ramos-Horta,TLS,2007,2008,CIRC_00277
Danny Philip,SLB,2010,2011,CIRC_00783
Rini,SLB,2006,2006,CIRC_00781
Gusmao,TLS,2002,2007,CIRC_00276
Alejandro Toledo,PER,2001,2006,CIRC_00679
Morauta,PNG,1999,2002,CIRC_00694
Bambang Yudhoyono,IDN,2004,2014,CIRC_00386
Darcy Lilo,SLB,2011,2014,CIRC_00784
Megawati Sukarnoputri,IDN,2001,2004,CIRC_00385
Suharto,IDN,1966,1998,CIRC_00382
Wahid,IDN,1999,2001,CIRC_00384
Joko Widodo,IDN,2014,2023,CIRC_00387
Mwinyi,TZA,1985,1995,CIRC_00843
Laurent Kabila,COD,1997,2001,CIRC_00245
Kikwete,TZA,2005,2015,CIRC_00845
Samia Suluhu Hassan,TZA,2021,2023,CIRC_00847
O'Neil,PNG,2011,2019,CIRC_00696
James Marape,PNG,2019,2023,CIRC_00697
Wingti,PNG,1992,1994,CIRC_00691
Namaliu,PNG,1988,1992,CIRC_00690
Felix Tshisekedi,COD,2019,2023,CIRC_00247
Ali Bongo Ondimba,COG,2009,2023,CIRC_00301
Somare,PNG,2002,2011,CIRC_00695
Habibie,IDN,1998,1999,CIRC_00383
Mahuad,ECU,1998,2000,CIRC_00257
Buyoya,BDI,1987,1993,CIRC_00132
Buyoya,BDI,1996,2003,CIRC_00132
Manuel Arturo Merino de Lama,PER,2020,2020,CIRC_00681
Ndadaye,BDI,1993,1993,CIRC_00133
Chan,PNG,1994,1997,CIRC_00692
Kinigi,BDI,1993,1994,CIRC_00135
Ntibantunganya,BDI,1994,1996,CIRC_00137
Ngueze,BDI,1993,1993,CIRC_00134
Nkurunziza,BDI,2005,2020,CIRC_00134
Evariste Ndayishiyme,BDI,2020,2023,CIRC_00139
Ntarymira,BDI,1994,1994,CIRC_00136
Joseph Kabila,COD,2001,2019,CIRC_00246
Ndayizeye,BDI,2003,2005,CIRC_00138
Rosalia Arteaga Serrano,ECU,1997,1997,CIRC_00256
John Magufuli,TZA,2015,2021,CIRC_00846
Sindikubwabo,RWA,1994,1994,CIRC_00736
Sarney,BRA,1985,1990,CIRC_00124
Lissouba,COG,1992,1997,CIRC_00204
Paul Kagame,RWA,1994,2023,CIRC_00737
Guillermo Lasso,ECU,2021,2023,CIRC_00259
Bucaram Ortiz,ECU,1996,1997,CIRC_00255
Gustavo Noboa,ECU,2000,2003,CIRC_00255
Alfredo Palacio,ECU,2005,2007,CIRC_00255
Rafael Correa,ECU,2007,2017,CIRC_00255
Francois Bozize,GAB,2003,2013,CIRC_00175
Habyarimana,RWA,1973,1994,CIRC_00735
Bongo,GAB,1967,2009,CIRC_00299
Uhuru Kenyatta,KEN,2013,2022,CIRC_00449
Nguesso,COG,1979,1992,CIRC_00203
