GID_2,GID_0,year,pop_count,lnpop
AFG.10.7_1,AFG,1990,18673,2.92707863023694
AFG.11.1_1,AFG,1990,30971,3.43305128277606
AFG.11.2_1,AFG,1990,6002,1.79209274701818
AFG.11.3_1,AFG,1990,34742,3.54794932967973
AFG.11.4_1,AFG,1990,25926,3.25524632617785
AFG.11.5_1,AFG,1990,41046,3.71469338900692
AFG.11.6_1,AFG,1990,20377,3.0144068138188
AFG.11.7_1,AFG,1990,35105,3.55834357046921
AFG.11.8_1,AFG,1990,44691,3.79977213906557
AFG.11.9_1,AFG,1990,18871,2.93762635214696
AFG.11.10_1,AFG,1990,36886,3.60783207526061
AFG.11.11_1,AFG,1990,9793,2.28166784473866
AFG.11.12_1,AFG,1990,26041,3.25967221906077
AFG.11.13_1,AFG,1990,10858,2.38490213548326
AFG.12.1_1,AFG,1990,14376,2.66556014948126
AFG.12.2_1,AFG,1990,5983,1.78892211440789
AFG.12.3_1,AFG,1990,7467,2.01049331205356
AFG.12.4_1,AFG,1990,22416,3.10977498959465
AFG.12.5_1,AFG,1990,23292,3.14810995397487
AFG.12.6_1,AFG,1990,36037,3.58454618843192
AFG.12.7_1,AFG,1990,147337,4.99272247997774
AFG.12.8_1,AFG,1990,158209,5.06391694372802
AFG.12.9_1,AFG,1990,16087,2.77801149240817
AFG.12.10_1,AFG,1990,14383,2.66604695362175
AFG.12.11_1,AFG,1990,31624,3.45391632599438
AFG.12.12_1,AFG,1990,9433,2.24421417966772
AFG.12.13_1,AFG,1990,17342,2.85313130495497
AFG.12.14_1,AFG,1990,27103,3.29964442286575
AFG.12.15_1,AFG,1990,47977,3.87072172940419
AFG.12.16_1,AFG,1990,12298,2.50943664753128
AFG.13.1_1,AFG,1990,50003,3.91208300362822
AFG.13.2_1,AFG,1990,34938,3.55357506208304
AFG.13.3_1,AFG,1990,16387,2.79648833756409
AFG.13.4_1,AFG,1990,6767,1.91205785725009
AFG.13.5_1,AFG,1990,9616,2.26342837779285
AFG.13.6_1,AFG,1990,19419,2.96625196823148
AFG.13.7_1,AFG,1990,17902,2.88491243844875
AFG.13.8_1,AFG,1990,12058,2.48972834006721
AFG.13.9_1,AFG,1990,86683,4.46225778612923
AFG.14.1_1,AFG,1990,229986,5.43801843750535
AFG.14.2_1,AFG,1990,28253,3.34119964664446
AFG.14.3_1,AFG,1990,322465,5.77599460321455
AFG.14.4_1,AFG,1990,8495,2.1394777551239
AFG.14.5_1,AFG,1990,8928,2.18919240563896
AFG.14.6_1,AFG,1990,1171871,7.06635689581962
AFG.14.7_1,AFG,1990,7819,2.05655666914238
AFG.14.8_1,AFG,1990,4654,1.5377270648801
AFG.14.9_1,AFG,1990,16383,2.79624421183813
AFG.14.10_1,AFG,1990,14257,2.65724801417182
AFG.14.11_1,AFG,1990,64834,4.17183015711387
AFG.14.12_1,AFG,1990,21939,3.08826587495692
AFG.14.13_1,AFG,1990,34359,3.53686399308369
AFG.14.14_1,AFG,1990,16934,2.82932343522009
AFG.15.1_1,AFG,1990,5670,1.73518911773966
AFG.15.2_1,AFG,1990,9892,2.29172634965917
AFG.15.3_1,AFG,1990,55424,4.01501271293997
AFG.15.4_1,AFG,1990,2499,0.915890651852815
AFG.15.5_1,AFG,1990,138272,4.92922275974952
AFG.15.6_1,AFG,1990,6560,1.880990602956
AFG.15.7_1,AFG,1990,11489,2.44139005587123
AFG.15.8_1,AFG,1990,16736,2.81756208788251
AFG.15.9_1,AFG,1990,52207,3.9552165855149
AFG.15.10_1,AFG,1990,2740,1.00795792039998
AFG.15.11_1,AFG,1990,14736,2.69029347951295
AFG.15.12_1,AFG,1990,3573,1.27340557904127
AFG.15.13_1,AFG,1990,36995,3.61078276837751
AFG.16.1_1,AFG,1990,13803,2.62488595984144
AFG.16.2_1,AFG,1990,8939,2.19042372610572
AFG.16.3_1,AFG,1990,47071,3.8516571001417
AFG.16.4_1,AFG,1990,22165,3.09851446819702
AFG.16.5_1,AFG,1990,42907,3.75903498278634
AFG.16.6_1,AFG,1990,31518,3.45055881119988
AFG.17.1_1,AFG,1990,3328,1.20237152295896
AFG.17.2_1,AFG,1990,4729,1.55371376366174
AFG.17.3_1,AFG,1990,4228,1.44172906800799
AFG.17.4_1,AFG,1990,24002,3.17813716020925
AFG.17.5_1,AFG,1990,13468,2.60031650129883
AFG.17.6_1,AFG,1990,5113,1.63178631609786
AFG.17.7_1,AFG,1990,7509,2.01610230111775
AFG.17.8_1,AFG,1990,3195,1.1615870878295
AFG.17.9_1,AFG,1990,14175,2.65147984961382
AFG.17.10_1,AFG,1990,4272,1.45208210165789
AFG.17.11_1,AFG,1990,9492,2.25044933857352
AFG.17.12_1,AFG,1990,9403,2.24102878729494
AFG.18.1_1,AFG,1990,25125,3.22386336637924
AFG.18.2_1,AFG,1990,12880,2.55567572067621
